"id","ticker","period_ending","quarter","total_revenue","cost_of_revenue","gross_profit","operating_expense","operating_income","net_income","basic_eps","diluted_eps","ebitda","created_at"
101,"PYPL","2024-06-30","2024-Q2","7885000000","4277000000","3608000000","2170000000","1438000000","1128000000","1.0800","1.0800","1755000000","2025-08-17 07:24:02.788287"
102,"BAC","2025-06-30","2025-Q2","26463000000",NULL,NULL,NULL,NULL,"7116000000","0.9000","0.8900",NULL,"2025-08-17 07:24:05.885914"
103,"BAC","2025-03-31","2025-Q1","27366000000",NULL,NULL,NULL,NULL,"7396000000","0.9100","0.9000",NULL,"2025-08-17 07:24:05.908933"
104,"BAC","2024-12-31","2024-Q4","25347000000",NULL,NULL,NULL,NULL,"6665000000","0.8300","0.8200",NULL,"2025-08-17 07:24:05.924747"
105,"BAC","2024-09-30","2024-Q3","25345000000",NULL,NULL,NULL,NULL,"6896000000","0.8200","0.8100",NULL,"2025-08-17 07:24:05.94041"
106,"BAC","2024-06-30","2024-Q2","25377000000",NULL,NULL,NULL,NULL,"6897000000","0.8300","0.8300",NULL,"2025-08-17 07:24:05.950435"
107,"BAC","2024-03-31","2024-Q1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-08-17 07:24:05.964374"
108,"NFLX","2025-06-30","2025-Q2","11079166000","5325311000","5753855000","1979161000","3774694000","3125413000","7.3500","7.1900","7726411000","2025-08-17 07:24:08.83993"
109,"NFLX","2025-03-31","2025-Q1","10542801000","5263147000","5279654000","1932655000","3346999000","2890351000","6.7600","6.6100","7301077000","2025-08-17 07:24:08.865144"
110,"NFLX","2024-12-31","2024-Q4","10246513000","5767364000","4479149000","2206383000","2272766000","1868607000","4.3700","4.2700","6567911000","2025-08-17 07:24:08.878379"
111,"NFLX","2024-09-30","2024-Q3","9824703000","5119884000","4704819000","1795342000","2909477000","2363509000","5.5200","5.4000","6689912000","2025-08-17 07:24:08.892268"
